problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation apple)
(PickupObject apple)
(GotoLocation knife)
(HoldObject knife)
(CutObject apple)
(GotoLocation sinkbasin)
(PutObject apple sinkbasin)
(GotoLocation fridge)
(PickupObject apple)
(GotoLocation sinkbasin)
(PutObject apple sinkbasin)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,slice off the top of a tomato while holding a butter knife.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(SliceObject tomato)","(GetObject(s, countertop, butterknife))
(PickupObject butterknife)
(GotoLocation countertopfood)
(PickupObject tomato)
(CutOff tomato)
(PutObject tomato countertopfood)"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,heat an egg and put it back in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation fridge)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation fridge)
(PutObject egg fridge)","(GotoLocation fridge)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation countertop)
(PutObject egg countertop)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,place a warm tomato slice on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation fridge)
(PickupObject tomato)
(GotoLocation diningtable)
(PutObject tomato diningtable)
(PickupObject butterknife)
(SliceObject tomato)
(PutObject butterknife diningtable)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation diningtable)
(PutObject tomato diningtable)","(GetObject slice4 tomato4 kitchen)
(PickupObject slice4)
(CookObject slice4 stove)
(PutObject slice4 white_table livingroom)
(CleanObject pizza2 countertop kitchen)"
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-24/trial_T20190909_073807_553746,cook a piece of an apple and cool it.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation cabinet)
(PutObject butterknife cabinet)
(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation countertop)
(PickupObject apple)
(GotoLocation countertopright)
(CutFillObject apple)
(GotoLocation microwave)
(CookObject apple)
(GotoLocation countertop)
(PutObject apple *countertop)"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,use the knife on the table by the stove to slice the cabbage on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)","(GotoLocation stove)
(PickupObject knife)
(GotoLocation white)
(PutObject knife white)
(GotoLocation white)
(PickupObject cabbage)
(GotoLocation white)
(PutObject cabbage white)
(PickupObject knife)
(PickupObject cabbage)
(Slice cabbage knife cabbage)
(GotoLocation white)
(PutObject cabbage white)"
train/pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084028_991219,put the cold bottle in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation cabinet)
(PutObject winebottle cabinet)","(GotoLocation refrigerator)
(PickupObject bottle)
(GotoLocation cabinet)
(PutObject bottle cabinet)"
train/pick_heat_then_place_in_recep-AppleSliced-None-SideTable-3/trial_T20190918_165030_719864,"pick up knife , slice apple , move knife to another table , heat apple slice in microwave and put it on a table.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation knife)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation sidetable)
(PutObject knife sidetable)
(GotoLocation apple)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation sidetable)
(PutObject apple sidetable)","(GotoLocation table1)
(PickupObject knife)
(GotoLocation table2)
(PutObject knife table2)
(GotoLocation table1)
(PickupObject apple)
(GotoLocation table2)
(SliceObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation table1)
(PutObject apple table1)"
train/pick_cool_then_place_in_recep-Apple-None-SideTable-21/trial_T20190907_180858_138819,put a chilled apple on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation sidetable)
(PutObject apple sidetable)","(GotoLocation fridge)
(Take refrigerator artichokes deodorant)
(PickupObject artichokes)
(PutObject artichokes countertop)
(PickupObject apple)
(Chill can-of-cola)
(PutObject apple countertop)
(Chill apple)"
train/pick_cool_then_place_in_recep-LettuceSliced-None-CounterTop-24/trial_T20190909_153425_218344,put a slice of cold lettuce on a ledge in front of a sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation diningtable)
(PickupObject knife)
(SliceObject lettuce)
(GotoLocation countertop)
(PutObject knife countertop)
(GotoLocation diningtable)
(PickupObject lettuce)
(GotoLocation fridge)
(CoolObject lettuce)
(GotoLocation countertop)
(PutObject lettuce countertop)","(GotoLocation refrigerator)
(RetrieveObject lettuce14)
(PickupObject lettuce14)
(GotoLocation ledge2)
(PutObject lettuce14 ledge2)"
