problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal
train/pick_and_place_simple-TomatoSliced-None-SinkBasin-5/trial_T20190907_233342_973242,cut a tomato in half.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r SinkBasinType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    ))\n'],"(:goal
	(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(sliceable ?o)
		(isSliced ?o)))
)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,slice off the top of a tomato while holding a butter knife.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",[' \n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (exists (?b - object)\n        (exists (?a - agent)     \n            (and \n                (objectType ?o TomatoType) \n                (isSliced ?o)\n                (objectType ?b ButterKnifeType)\n                (holds ?a ?b) \n            )\n    )))\n)\n'],"(:goal
	(exists (?o - object)
(exists (?b - object)
(exists (?a - agent)
(and 
		(objectType ?o TomatoType)
		(isSliced ?o)
		(objectType ?b ButterKnifeType)
		(holds ?a ?b)))))
)"
train/pick_heat_then_place_in_recep-Potato-None-DiningTable-20/trial_T20190908_001123_581082,place a cooked potato on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and (objectType ?o PotatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n                (isHot ?o) )) ) )\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-GarbageCan-24/trial_T20190911_060653_582126,put the heated slice tomato in the trash bin.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (sliceable ?o)\n                (isHot ?o)\n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(sliceable ?o)
		(isHot ?o)
		(receptacleType ?r GarbageCanType)
		(inReceptacle ?o ?r))))
)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-SideTable-21/trial_T20190908_094218_095450,put a microwaved slice of potato on the stand next to the kitchen counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r) \n                (isHot ?o)\n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r CounterTopType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)"
train/pick_and_place_simple-BreadSliced-None-SideTable-3/trial_T20190907_000313_868459,place a sliced loaf of bread in front of the microwave.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BreadType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BreadType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r))))
)"
train/pick_cool_then_place_in_recep-Lettuce-None-GarbageCan-27/trial_T20190908_135424_349613,"put the lettuce in the fridge for 7 seconds , throw the lettuce in the trash.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (cleanable ?o)
                (isClean ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o LettuceType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o LettuceType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)"
train/pick_heat_then_place_in_recep-PotatoSliced-None-Fridge-27/trial_T20190908_130243_360292,put a heated slice of potato on the refrigerator.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (and \n            (objectAtLocation Plate refrigerator3)\n            (isHot Potato)\n            (isSliced Potato)\n            (isClean Potato)\n        ))\n'],"(:goal
	(and 
		(objectAtLocation Plate refrigerator3)
		(isHot Potato)
		(isSliced Potato)
		(isClean Potato))
)"
train/pick_cool_then_place_in_recep-Potato-None-DiningTable-19/trial_T20190908_010010_675612,put the cooled potato on the table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n                (isHot ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)"
train/pick_cool_then_place_in_recep-PotatoSliced-None-GarbageCan-22/trial_T20190909_040714_562307,"put a knife in the fridge , and a cold potato slice in the trashcan.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?o - object)\n        (exists (?r - receptacle)\n            (and \n                (objectType ?o KnifeType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    \n    ))\n\n    (exists (?o - object)\n        (exists (?r - receptacle)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r GarbageCanType)\n                (isCool ?o)\n                (inReceptacle ?o ?r) \n            )\n    ))\n    )\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)"
