problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation fridge)
(PutObject knife fridge)
(GotoLocation microwave)
(PickupObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(PickupObject apple_slice)
(GotoLocation fridge)
(PutObject apple_slice fridge)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,slice off the top of a tomato while holding a butter knife.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(SliceObject tomato)","(GotoLocation mobileroom)
(PickupObject tomatobox)
(GotoLocation countertop)
(PickupObject tomatoes)
(PickupObject butterknife)
(GotoLocation sinkbasin)
(CutItem tomatoes butterknife)
(GotoLocation drawer)
(PutObject butterknife drawer)"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,heat an egg and put it back in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation fridge)
(PickupObject egg)
(GotoLocation microwave)
(HeatObject egg)
(GotoLocation fridge)
(PutObject egg fridge)","(GotoLocation sinkbasin)
(PickupObject egg)
(GotoLocation ovenshelf )
(cook-with-heat-and-oil X0)
(GotoLocation fridge)
(PutObject egg fridge)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,place a warm tomato slice on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation fridge)
(PickupObject tomato)
(GotoLocation diningtable)
(PutObject tomato diningtable)
(PickupObject butterknife)
(SliceObject tomato)
(PutObject butterknife diningtable)
(PickupObject tomato)
(GotoLocation microwave)
(HeatObject tomato)
(GotoLocation diningtable)
(PutObject tomato diningtable)","(heat organ1 oven0)
(remove organ1 oven0)
(GotoLocation organ1)
(PickupObject organ1)
(GotoLocation counter3)
(PutObject organ1 counter3)"
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-24/trial_T20190909_073807_553746,cook a piece of an apple and cool it.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation cabinet)
(PutObject butterknife cabinet)
(GotoLocation countertop)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation fridge)
(PutObject apple fridge)","(GotoLocation fridge)
(PickupObject apple)
(GotoLocation oven)
(CookObject apple)
(GotoLocation pantry)
(CoolObject apple)"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,use the knife on the table by the stove to slice the cabbage on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject butterknife)
(GotoLocation lettuce)
(SliceObject lettuce)","(Move knife table)
(Slice cabbage table)"
train/pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084028_991219,put the cold bottle in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation countertop)
(PickupObject winebottle)
(GotoLocation fridge)
(CoolObject winebottle)
(GotoLocation cabinet)
(PutObject winebottle cabinet)","(GotoLocation refrigerator)
(PickupObject bottle)
(GotoLocation cabinet)
(PutObject bottle cabinet)"
train/pick_heat_then_place_in_recep-AppleSliced-None-SideTable-3/trial_T20190918_165030_719864,"pick up knife , slice apple , move knife to another table , heat apple slice in microwave and put it on a table.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","(GotoLocation knife)
(PickupObject knife)
(GotoLocation apple)
(SliceObject apple)
(GotoLocation sidetable)
(PutObject knife sidetable)
(GotoLocation apple)
(PickupObject apple)
(GotoLocation microwave)
(HeatObject apple)
(GotoLocation sidetable)
(PutObject apple sidetable)","(PickupObject pickup_utensil_knife)
(slice slice_apple3_knife3_table3)
(move_cutlery pickup_utensil_knife move_pickup_utensil_knife_table3_to_table2)
(slice slice_apple3_knife3_table3)
(slice slice_apple3_microwave_table3)"
train/pick_cool_then_place_in_recep-Apple-None-SideTable-21/trial_T20190907_180858_138819,put a chilled apple on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","(GotoLocation diningtable)
(PickupObject apple)
(GotoLocation fridge)
(CoolObject apple)
(GotoLocation sidetable)
(PutObject apple sidetable)","(PickupObject apple)
(GotoLocation fridge)
(ChillObject apple)
(GotoLocation table1)
(PutObject apple table1)"
train/pick_heat_then_place_in_recep-Potato-None-GarbageCan-14/trial_T20190909_114102_376957,place a heated potato in a bin.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","(GotoLocation sinkbasin)
(PickupObject potato)
(GotoLocation microwave)
(HeatObject potato)
(GotoLocation garbagecan)
(PutObject potato garbagecan)","(GotoLocation cooktop)
(PickupObject potato)
(Heat cooktop potato)
(GotoLocation worktable)
(PutObject potato sidetable)
(GotoLocation garbagebin)
(Throw potato garbagebin)"
