problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,place an apple slice inside of the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))
)"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,slice off the top of a tomato while holding a butter knife.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KnifeType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,heat an egg and put it back in the fridge.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,place a warm tomato slice on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o TomatoType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (heat ?o)\n                (isHot ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)"
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-24/trial_T20190909_073807_553746,cook a piece of an apple and cool it.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,use the knife on the table by the stove to slice the cabbage on the white table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r DiningTableType)
                (inReceptacle ?o ?r) 
                (sliceable ?o)
                (isSliced ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KnifeType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)"
train/pick_cool_then_place_in_recep-WineBottle-None-Cabinet-16/trial_T20190907_084028_991219,put the cold bottle in the cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o WineBottleType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o GlassbottleType)
		(receptacleType ?r CabinetType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)"
train/pick_heat_then_place_in_recep-AppleSliced-None-SideTable-3/trial_T20190918_165030_719864,"pick up knife , slice apple , move knife to another table , heat apple slice in microwave and put it on a table.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o KnifeType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (wasInReceptacle ?o ?r)\n                (isSliced ?o) \n            )\n    )))\n            \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))\n\n\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(wasInReceptacle ?o ?r)
		(isSliced ?o))))
)"
train/pick_cool_then_place_in_recep-Apple-None-SideTable-21/trial_T20190907_180858_138819,put a chilled apple on a table.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AppleType) 
                (receptacleType ?r SideTableType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))",[' \n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)"
train/pick_cool_then_place_in_recep-LettuceSliced-None-CounterTop-24/trial_T20190909_153425_218344,put a slice of cold lettuce on a ledge in front of a sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o LettuceType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))",['\n\n;; PDDL Goal: \n(:goal\n        (exists (?l - object ?r - receptacle)\n            (and \n                (objectType ?l LettuceType) \n                (receptacleType ?r DiningTableType)\n                (wasInReceptacle ?l ?r)\n                (cleanable ?l)\n                (isClean ?l) \n                (inReceptacle ?l ?r)\n                (isOn ?l CounterTop)\n    \n        )))\n'],"(:goal
	(exists (?r - receptacle)
(exists (?l - object)
(and 
		(objectType ?l LettuceType)
		(receptacleType ?r DiningTableType)
		(wasInReceptacle ?l ?r)
		(cleanable ?l)
		(isClean ?l)
		(inReceptacle ?l ?r))))
)"
