problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train/look_at_obj_in_light-Statue-None-FloorLamp-205/trial_T20190908_103342_172151,look at a statue by the lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o StatueType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))', 'pick_and_place_simple-Statue-None-FloorLamp', ';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n            )\n    ))))))\n    \n\n<END>']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o StatueType))))))
)",False
train/look_at_obj_in_light-Statue-None-FloorLamp-205/trial_T20190908_103342_172151,look at a statue by the lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o StatueType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))', 'pick_and_place_simple-Statue-None-FloorLamp', ';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n            )\n    ))))))\n    \n\n<END>']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o StatueType)
		(holds ?a ?o))))))
)",False
train/look_at_obj_in_light-Statue-None-FloorLamp-205/trial_T20190908_103342_172151,look at a statue by the lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot FloorLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o StatueType)
                (holds ?a ?o)
            )
    ))))))","[';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n            )\n    )))))\n\n<END>', ';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-DeskLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))', 'pick_and_place_simple-Statue-None-FloorLamp', ';; Simplified Goal: \nlook_at_obj_in_light-Statue-None-FloorLamp\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n            )\n    ))))))\n    \n\n<END>']","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o StatueType))))))
)",False
train/pick_cool_then_place_in_recep-Pan-None-CounterTop-7/trial_T20190909_072619_689367,move pot to refrigerator then to counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PanType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\npick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge then pick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r1 - receptacle) \n\t(exists (?r2 - receptacle)\n        (exists (?o - object)\n        (exists (?l1 - location) \n\t(exists (?l2 - location)\n            (and \n                (objectType ?o PotType) \n\t\t(receptacleType ?r1 FridgeType)\n\t\t(receptacleType ?r2 CounterTopType)\n\t\t(inReceptacle ?o ?r1)\n\t\t(atLocation ?o ?l1)\n\t\t(atLocation ?r1 ?l1)\n\t\t(atLocation ?r2 ?l2)\n\t\t\n            )\n    ))))))\n<END>']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",False
train/pick_cool_then_place_in_recep-Pan-None-CounterTop-7/trial_T20190909_072619_689367,move pot to refrigerator then to counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PanType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\npick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge then pick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r1 - receptacle) \n\t(exists (?r2 - receptacle)\n        (exists (?o - object)\n        (exists (?l1 - location) \n\t(exists (?l2 - location)\n            (and \n                (objectType ?o PotType) \n\t\t(receptacleType ?r1 FridgeType)\n\t\t(receptacleType ?r2 CounterTopType)\n\t\t(inReceptacle ?o ?r1)\n\t\t(atLocation ?o ?l1)\n\t\t(atLocation ?r1 ?l1)\n\t\t(atLocation ?r2 ?l2)\n\t\t\n            )\n    ))))))\n<END>']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",False
train/pick_cool_then_place_in_recep-Pan-None-CounterTop-7/trial_T20190909_072619_689367,move pot to refrigerator then to counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PanType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\npick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge then pick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r1 - receptacle) \n\t(exists (?r2 - receptacle)\n        (exists (?o - object)\n        (exists (?l1 - location) \n\t(exists (?l2 - location)\n            (and \n                (objectType ?o PotType) \n\t\t(receptacleType ?r1 FridgeType)\n\t\t(receptacleType ?r2 CounterTopType)\n\t\t(inReceptacle ?o ?r1)\n\t\t(atLocation ?o ?l1)\n\t\t(atLocation ?r1 ?l1)\n\t\t(atLocation ?r2 ?l2)\n\t\t\n            )\n    ))))))\n<END>']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r))))
)",False
train/pick_cool_then_place_in_recep-Pan-None-CounterTop-7/trial_T20190909_072619_689367,move pot to refrigerator then to counter.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PanType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\npick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_and_place_simple-Pot-None-Fridge then pick_and_place_simple-Pot-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r1 - receptacle) \n\t(exists (?r2 - receptacle)\n        (exists (?o - object)\n        (exists (?l1 - location) \n\t(exists (?l2 - location)\n            (and \n                (objectType ?o PotType) \n\t\t(receptacleType ?r1 FridgeType)\n\t\t(receptacleType ?r2 CounterTopType)\n\t\t(inReceptacle ?o ?r1)\n\t\t(atLocation ?o ?l1)\n\t\t(atLocation ?r1 ?l1)\n\t\t(atLocation ?r2 ?l2)\n\t\t\n            )\n    ))))))\n<END>']","(:goal
	(exists (?r2 - receptacle)
(exists (?r1 - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotType)
		(receptacleType ?r1 FridgeType)
		(receptacleType ?r2 CounterTopType)
		(inReceptacle ?o ?r1)))))
)",False
train/pick_cool_then_place_in_recep-Pot-None-CounterTop-24/trial_T20190907_002332_305243,place a cooled pan down on the kitchen counter corner.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PanType)
		(receptacleType ?r CounterTopType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)",False
train/pick_cool_then_place_in_recep-Pot-None-CounterTop-24/trial_T20190907_002332_305243,place a cooled pan down on the kitchen counter corner.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PanType)
		(receptacleType ?r CounterTopType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)",False
train/pick_cool_then_place_in_recep-Pot-None-CounterTop-24/trial_T20190907_002332_305243,place a cooled pan down on the kitchen counter corner.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotType) 
                (receptacleType ?r CounterTopType)
                (inReceptacle ?o ?r)
                (coolable ?o)
                (isCool ?o) 
            )
    )))","[';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))\n\n<END>', ';; Simplified Goal: \npick_cool_then_place_in_recep-Pan-None-CounterTop\n\n\n;; PDDL Goal: \n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PanType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PanType)
		(receptacleType ?r CounterTopType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)",False
